symbol,fyers_symbol,industry,cmp,avg_volume,avg_turnover,data_days,range_low,range_high,range_width_pts,range_width_pct,support_touches,resistance_touches,containment_pct,range_valid,range_watch,range_position,in_bottom_zone,below_range,above_range,breakdown,breakout,strong_downtrend,avg_bar_range_15m,avg_bar_range_5m,grid_gap_pts,total_grid_levels,grids_to_bottom,order_qty,order_value,gross_cycle_profit,round_trip_cost,net_cycle_profit,allocated_capital,cash_reserve,max_downside_buy_value,initial_buy_value,initial_buy_qty,initial_buy_used_value,unused_cash,entry_status,grid_status,final_status,final_reason,candidate_score
STARHEALTH,NSE:STARHEALTH-EQ,Financial Services,524.05,618811,306873639,60,442.48,534.53,92.05,20.8,6,8,96.7,False,True,0.8861,False,False,False,False,False,False,2.5029,1.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.80% > 20.0% (watch zone),49.6
SJVN,NSE:SJVN-EQ,Power,73.79,5535162,407072721,60,65.8,81.48,15.68,23.84,4,5,91.7,False,True,0.5096,False,False,False,False,False,False,0.3644,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.84% > 20.0% (watch zone),49.56
DLF,NSE:DLF-EQ,Realty,589.8,4577934,2598982940,60,511.8,619.95,108.16,21.13,4,6,96.7,False,True,0.7212,False,False,False,False,False,False,2.7371,1.5565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.13% > 20.0% (watch zone),49.44
CUMMINSIND,NSE:CUMMINSIND-EQ,Capital Goods,5418.5,685015,3347380154,60,4477.7,5430.6,952.9,21.28,5,9,98.3,False,True,0.9873,False,False,False,False,False,False,23.1164,13.1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.28% > 20.0% (watch zone),49.36
PERSISTENT,NSE:PERSISTENT-EQ,Information Technology,5105.8,779624,3845552997,60,4550.68,5505.36,954.68,20.98,8,5,93.3,False,True,0.5815,False,False,False,False,False,False,26.5749,14.9194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.98% > 20.0% (watch zone),49.24
FIRSTCRY,NSE:FIRSTCRY-EQ,Consumer Services,237.11,5894514,1397065736,60,208.65,259.24,50.59,24.25,10,3,96.7,False,True,0.5626,False,False,False,False,False,False,1.4958,0.8301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.25% > 20.0% (watch zone),48.88
NBCC,NSE:NBCC-EQ,Construction,95.55,12303620,1113270313,60,79.96,99.51,19.55,24.45,5,3,95.0,False,True,0.7974,False,False,False,False,False,False,0.5345,0.2904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.45% > 20.0% (watch zone),48.77
OBEROIRLTY,NSE:OBEROIRLTY-EQ,Realty,1693.7,580445,913020320,60,1413.7,1737.06,323.36,22.87,5,11,96.7,False,True,0.8659,False,False,False,False,False,False,7.6975,4.3653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 22.87% > 20.0% (watch zone),48.56
INDIACEM,NSE:INDIACEM-EQ,Construction Materials,404.6,751270,316173689,60,347.39,429.8,82.42,23.72,7,6,96.7,False,True,0.6941,False,False,False,False,False,False,1.9878,1.0137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.72% > 20.0% (watch zone),48.14
NUVOCO,NSE:NUVOCO-EQ,Construction Materials,327.5,508514,157322730,60,279.89,336.27,56.38,20.15,5,4,96.7,False,True,0.8444,False,False,False,False,False,False,1.7615,0.9405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 20.15% > 20.0% (watch zone),47.92
DMART,NSE:DMART-EQ,Consumer Services,4103.6,587795,2472526872,60,3725.27,4629.17,903.9,24.26,6,9,96.7,False,True,0.4186,False,False,False,False,False,False,15.5982,8.4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.26% > 20.0% (watch zone),47.87
AUBANK,NSE:AUBANK-EQ,Financial Services,1011.8,2741461,2635611406,60,855.87,1059.24,203.37,23.76,4,5,93.3,False,True,0.7667,False,False,False,False,False,False,4.3891,2.4394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.76% > 20.0% (watch zone),47.85
USHAMART,NSE:USHAMART-EQ,Capital Goods,480.8,727083,321039404,60,390.0,485.05,95.05,24.37,6,6,96.7,False,True,0.9553,False,False,False,False,False,False,2.5824,1.3858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.37% > 20.0% (watch zone),47.81
BAJAJHFL,NSE:BAJAJHFL-EQ,Financial Services,85.05,6703878,557810120,60,74.99,91.9,16.91,22.55,3,6,96.7,False,True,0.5949,False,False,False,False,False,False,0.2609,0.1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 22.55% > 20.0% (watch zone),47.73
PFC,NSE:PFC-EQ,Financial Services,433.7,8421674,3623209987,60,386.29,477.92,91.63,23.72,3,5,95.0,False,True,0.5174,False,False,False,False,False,False,1.9876,1.1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.72% > 20.0% (watch zone),47.14
INDUSINDBK,NSE:INDUSINDBK-EQ,Financial Services,932.3,3241690,2790726179,60,765.47,956.05,190.57,24.9,4,5,91.7,False,True,0.8754,False,False,False,False,False,False,4.0131,2.3406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.90% > 20.0% (watch zone),47.03
ABCAPITAL,NSE:ABCAPITAL-EQ,Financial Services,363.05,6772610,2302604713,60,295.05,366.48,71.43,24.21,3,6,93.3,False,True,0.952,False,False,False,False,False,False,1.894,1.0669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.21% > 20.0% (watch zone),46.63
ABFRL,NSE:ABFRL-EQ,Consumer Services,64.87,5684626,353400310,60,55.32,69.12,13.8,24.94,3,6,96.7,False,True,0.692,False,False,False,False,False,False,0.3806,0.2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.94% > 20.0% (watch zone),46.53
SBFC,NSE:SBFC-EQ,Financial Services,91.88,1776226,162134514,60,81.56,99.26,17.7,21.71,3,5,93.3,False,True,0.5831,False,False,False,False,False,False,0.394,0.2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.71% > 20.0% (watch zone),45.88
JSWCEMENT,NSE:JSWCEMENT-EQ,Construction Materials,131.48,4936691,645063900,60,112.38,137.4,25.02,22.26,5,2,95.0,False,True,0.7634,False,False,False,False,False,False,0.9076,0.5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 22.26% > 20.0% (watch zone),45.87
EMAMILTD,NSE:EMAMILTD-EQ,Fast Moving Consumer Goods,403.9,573223,246999447,60,389.44,477.14,87.69,22.52,4,7,98.3,False,True,0.1649,False,False,False,False,False,False,1.9813,1.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 22.52% > 20.0% (watch zone),45.74
ASTERDM,NSE:ASTERDM-EQ,Healthcare,757.6,923524,646976823,60,622.58,769.38,146.8,23.58,4,7,96.7,False,True,0.9198,False,False,False,False,False,False,3.7569,2.1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.58% > 20.0% (watch zone),45.21
PIRAMALFIN,NSE:PIRAMALFIN-EQ,Financial Services,1949.2,553273,1054042389,60,1674.62,2030.05,355.42,21.22,6,3,93.3,False,True,0.7726,False,False,False,False,False,False,10.2538,5.5853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 21.22% > 20.0% (watch zone),45.12
TATACONSUM,NSE:TATACONSUM-EQ,Fast Moving Consumer Goods,1187.6,1932378,2230762082,60,1019.27,1256.24,236.97,23.25,5,2,93.3,False,True,0.7103,False,False,False,False,False,False,4.7473,2.7068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.25% > 20.0% (watch zone),45.11
IGIL,NSE:IGIL-EQ,Services,381.25,665874,229085932,60,309.76,381.86,72.1,23.28,4,5,93.3,False,True,0.9915,False,False,False,False,False,False,2.5687,1.4282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 23.28% > 20.0% (watch zone),45.09
TATAPOWER,NSE:TATAPOWER-EQ,Power,420.95,8451194,3457108796,60,366.19,450.3,84.1,22.97,3,4,91.7,False,True,0.6511,False,False,False,False,False,False,1.8311,1.0259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 22.97% > 20.0% (watch zone),44.99
PHOENIXLTD,NSE:PHOENIXLTD-EQ,Realty,1785.4,512500,855746581,60,1474.66,1842.72,368.05,24.96,4,8,100.0,False,True,0.8443,False,False,False,False,False,False,8.4135,4.6411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RANGE_WATCH,NOT_EVALUATED,RANGE_WATCH,range width 24.96% > 20.0% (watch zone),44.52
